CancerType,ENSG,cMDT,GeneName,Count,Total,Frequency
Prostate.Prost-AdenoCA,ENSG00000198546,ENST00000361518,ZNF511,19,19,1.00
Muscle.Bone-Leiomyo,ENSG00000075415,ENST00000552981,SLC25A3,34,34,1.00
CervixUteri.Cervix-SCC,ENSG00000140511,ENST00000359595,HAPLN3,18,18,1.00
Muscle.Bone-Leiomyo,ENSG00000101294,ENST00000340852,HM13,33,34,0.97
Muscle.Bone-Leiomyo,ENSG00000171992,ENST00000307662,SYNPO,32,34,0.94
CervixUteri.Cervix-SCC,ENSG00000170113,ENST00000337435,NIPA1,17,18,0.94
Uterus.Uterus-AdenoCA,ENSG00000107679,ENST00000433307,PLEKHA1,41,44,0.93
Bladder.Bladder-TCC,ENSG00000119523,ENST00000319033,ALG2,21,23,0.91
Bladder.Bladder-TCC,ENSG00000105426,ENST00000353284,PTPRS,21,23,0.91
Pancreas.Panc-AdenoCA,ENSG00000174194,ENST00000602930,AGAP8,67,75,0.89
Bladder.Bladder-TCC,ENSG00000129757,ENST00000380725,CDKN1C,20,23,0.87
Uterus.Uterus-AdenoCA,ENSG00000120756,ENST00000457734,PLS1,38,44,0.86
Muscle.Bone-Leiomyo,ENSG00000154553,ENST00000284771,PDLIM3,29,34,0.85
Muscle.Bone-Leiomyo,ENSG00000085415,ENST00000262124,SEH1L,29,34,0.85
Prostate.Prost-AdenoCA,ENSG00000072274,ENST00000360110,TFRC,16,19,0.84
Stomach.Stomach-AdenoCA,ENSG00000168994,ENST00000380283,PXDC1,24,29,0.83
Bladder.Bladder-TCC,ENSG00000010327,ENST00000469989,STAB1,19,23,0.83
Muscle.Bone-Leiomyo,ENSG00000126453,ENST00000246785,BCL2L12,28,34,0.82
Muscle.Bone-Leiomyo,ENSG00000067225,ENST00000335181,PKM,28,34,0.82
Pancreas.Panc-AdenoCA,ENSG00000152463,ENST00000429028,OLAH,59,75,0.79
Muscle.Bone-Leiomyo,ENSG00000111667,ENST00000389231,USP5,27,34,0.79
Bladder.Bladder-TCC,ENSG00000162576,ENST00000342753,MXRA8,18,23,0.78
Bladder.Bladder-TCC,ENSG00000066468,ENST00000369061,FGFR2,18,23,0.78
Stomach.Stomach-AdenoCA,ENSG00000131668,ENST00000253968,BARX1,22,29,0.76
Pancreas.Panc-AdenoCA,ENSG00000104177,ENST00000561151,MYEF2,57,75,0.76
Muscle.Bone-Leiomyo,ENSG00000198467,ENST00000329305,TPM2,26,34,0.76
Blood.Lymph-CLL,ENSG00000136003,ENST00000392807,ISCU,52,68,0.76
Pancreas.Panc-AdenoCA,ENSG00000219073,ENST00000374666,CELA3B,56,75,0.75
Muscle.Bone-Leiomyo,ENSG00000131069,ENST00000336325,ACSS2,25,34,0.74
Muscle.Bone-Leiomyo,ENSG00000128591,ENST00000325888,FLNC,25,34,0.74
Pancreas.Panc-AdenoCA,ENSG00000164604,ENST00000424100,GPR85,55,75,0.73
Muscle.Bone-Leiomyo,ENSG00000072195,ENST00000396689,SPEG,24,34,0.71
Muscle.Bone-Leiomyo,ENSG00000067191,ENST00000394303,CACNB1,24,34,0.71
Ovary.Ovary-AdenoCA,ENSG00000234906,ENST00000252490,APOC2,77,110,0.70
Blood.Lymph-CLL,ENSG00000235568,ENST00000355469,NFAM1,47,68,0.69
Prostate.Prost-AdenoCA,ENSG00000106617,ENST00000287878,PRKAG2,13,19,0.68
Ovary.Ovary-AdenoCA,ENSG00000167964,ENST00000210187,RAB26,75,110,0.68
Ovary.Ovary-AdenoCA,ENSG00000154274,ENST00000381980,C4orf19,75,110,0.68
