Tissue	ENSG	ENSPcanon	cMDT	RNAseqAliquotID	GTExMDT	TotalRelevantGTExSamples	GTExMDTmedianEnrichment	Pvalue	Qvalue	NumberOfGTExMDT	cMDTenrichment	GTExMDTmedianRelExpression	cMDTrelExpression	TotalNumberOfSTRINGint	cMDTnumberOfUniqMissedInt	NumberOfCommonMissedInt	Pfam1	Domain1	Region1	Pfam2	Domain2	ENSPcanon2	StringScore	DIMAscore	ENSG2	GeneName1	GeneName2	STRINGintN1	STRINGdensityScore1	STRINGdensityRank1	STRINGintN2	STRINGdensityScore2	STRINGdensityRank2
Alzheimer	ENSG00000000419	ENSP00000360644	ENST00000371584	SRR19243447	ENST00000371588:4	8	3.083	7.812e-03	7.812e-03	4	4.040	0.199	0.647	1	1	0	PF00535	Glycos_transf_2	28-199	PF00535	Glycos_transf_2	ENSP00000239891	931	1	ENSG00000120697	DPM1	ALG5	11	1317385.7270	0.571325907294287	12	376767.2202	0.389058569888609
Alzheimer	ENSG00000000419	ENSP00000360644	ENST00000413082	SRR19243462	ENST00000371588:4	8	3.083	7.812e-03	7.812e-03	4	3.517	0.110	0.639	1	1	0	PF00535	Glycos_transf_2	28-199	PF00535	Glycos_transf_2	ENSP00000239891	931	1	ENSG00000120697	DPM1	ALG5	11	1317385.7270	0.571325907294287	12	376767.2202	0.389058569888609
Alzheimer	ENSG00000000419	ENSP00000360644	ENST00000413082	SRR19243476	ENST00000371588:4	8	3.083	7.812e-03	7.812e-03	4	5.638	0.110	0.849	1	1	0	PF00535	Glycos_transf_2	28-199	PF00535	Glycos_transf_2	ENSP00000239891	931	1	ENSG00000120697	DPM1	ALG5	11	1317385.7270	0.571325907294287	12	376767.2202	0.389058569888609
Alzheimer	ENSG00000002586	ENSP00000370588	ENST00000381187	SRR19243472	ENST00000381192:6	8	3.185	7.812e-03	7.812e-03	6	2.049	0.192	0.481	0	-1	-1	-	-	-	-	-	-	-	-	-	CD99	-	1	1160.6127	0.051203736974488	0	0	0
Alzheimer	ENSG00000002586	ENSP00000370588	ENST00000381187	SRR19243476	ENST00000381192:6	8	3.185	7.812e-03	7.812e-03	6	2.963	0.192	0.543	0	-1	-1	-	-	-	-	-	-	-	-	-	CD99	-	1	1160.6127	0.051203736974488	0	0	0
Alzheimer	ENSG00000004700	ENSP00000395449	ENST00000536240	SRR19243471	ENST00000444129:5	8	4.813	7.812e-03	7.812e-03	5	2.856	0.055	0.693	6	6	0	PF00270	DEAD	94-259	PF00270	DEAD	ENSP00000267430	983	1	ENSG00000187790	RECQL	FANCM	31	2430829.5880	0.698616600790514	49	5383216.9099	0.797610492274524
Alzheimer	ENSG00000004700	ENSP00000395449	ENST00000536240	SRR19243471	ENST00000444129:5	8	4.813	7.812e-03	7.812e-03	5	2.856	0.055	0.693	6	6	0	PF00270	DEAD	94-259	PF00271	Helicase_C	ENSP00000361043	930	1	ENSG00000085999	RECQL	RAD54L	31	2430829.5880	0.698616600790514	8	150278.8054	0.295903701042041
Alzheimer	ENSG00000004700	ENSP00000395449	ENST00000536240	SRR19243471	ENST00000444129:5	8	4.813	7.812e-03	7.812e-03	5	2.856	0.055	0.693	6	6	0	PF00270	DEAD	94-259	PF01751	Toprim	ENSP00000321636	966	1	ENSG00000177302	RECQL	TOP3A	31	2430829.5880	0.698616600790514	42	2799993.7515	0.718289615522817
Alzheimer	ENSG00000004700	ENSP00000395449	ENST00000536240	SRR19243471	ENST00000444129:5	8	4.813	7.812e-03	7.812e-03	5	2.856	0.055	0.693	6	6	0	PF00270	DEAD	94-259	PF01751	Toprim	ENSP00000349705	944	1	ENSG00000100038	RECQL	TOP3B	31	2430829.5880	0.698616600790514	7	216932.3559	0.333093783686669
Alzheimer	ENSG00000004700	ENSP00000395449	ENST00000536240	SRR19243471	ENST00000444129:5	8	4.813	7.812e-03	7.812e-03	5	2.856	0.055	0.693	6	6	0	PF00270	DEAD	94-259	PF01751	Toprim	ENSP00000396704	982	1	ENSG00000077097	RECQL	TOP2B	31	2430829.5880	0.698616600790514	34	3161365.8260	0.733201581027668
